id,title,body,text
34,"Broken link in help","Help page contains a 404 link","Broken link in help Help page contains a 404 link"
35,"Form validation bypass","Invalid input accepted when submitting quickly","Form validation bypass Invalid input accepted when submitting quickly"
36,"SVG rendering wrong","Vector icons appear distorted on retina screens","SVG rendering wrong Vector icons appear distorted on retina screens"
37,"Crash on sign-up","App crashes when completing the sign-up flow","Crash on sign-up App crashes when completing the sign-up flow"
38,"Menu keyboard navigation broken","Arrow keys do not move focus in menus","Menu keyboard navigation broken Arrow keys do not move focus in menus"
39,"Auto-update fails","Auto-update stops with checksum mismatch","Auto-update fails Auto-update stops with checksum mismatch"
40,"Background sync not triggered","Periodic sync jobs do not run in background","Background sync not triggered Periodic sync jobs do not run in background"
41,"Wrong MIME type on download","Downloaded files have incorrect content-type header","Wrong MIME type on download Downloaded files have incorrect content-type header"
42,"Search autocomplete crashes","Autocomplete widget throws exception on input","Search autocomplete crashes Autocomplete widget throws exception on input"
43,"Memory spike exporting spreadsheet","High memory usage when exporting large spreadsheets","Memory spike exporting spreadsheet High memory usage when exporting large spreadsheets"
44,"Duplicate entries in list","Same item appears multiple times after refresh","Duplicate entries in list Same item appears multiple times after refresh"
45,"Date picker not selecting date","Clicking date does not set value in form","Date picker not selecting date Clicking date does not set value in form"
46,"PDF viewer zoom resets","Zoom level resets when navigating pages","PDF viewer zoom resets Zoom level resets when navigating pages"
47,"Socket reconnect loop","Socket tries to reconnect indefinitely causing CPU load","Socket reconnect loop Socket tries to reconnect indefinitely causing CPU load"
48,"Incorrect error message","Displayed error text does not match actual error","Incorrect error message Displayed error text does not match actual error"
49,"Settings page layout broken on mobile","Elements overlap on small screens","Settings page layout broken on mobile Elements overlap on small screens"
50,"API returns 500 for valid requests","Server error on valid endpoint request","API returns 500 for valid requests Server error on valid endpoint request"
51,"Widget position not saved","Custom widget positions reset after reload","Widget position not saved Custom widget positions reset after reload"
52,"Crash when removing account","Deleting an account crashes the app","Crash when removing account Deleting an account crashes the app"
53,"Link preview incorrect","Generated preview shows wrong metadata","Link preview incorrect Generated preview shows wrong metadata"
54,"Timezone conversion bug in reports","Report times shift incorrectly during export","Timezone conversion bug in reports Report times shift incorrectly during export"
55,"Search filters ignored","Applying filters does not change results","Search filters ignored Applying filters does not change results"
56,"Keyboard shortcuts conflict","Custom shortcut conflicts with browser default","Keyboard shortcuts conflict Custom shortcut conflicts with browser default"
57,"Tooltip positioning wrong","Tooltips appear off-screen near edges","Tooltip positioning wrong Tooltips appear off-screen near edges"
58,"Form submission duplicates","Submitting form twice creates two records","Form submission duplicates Submitting form twice creates two records"
59,"Image crop tool inverted selection","Crop box selects outside intended region","Image crop tool inverted selection Crop box selects outside intended region"
60,"Analytics event missing","Important event not recorded to analytics","Analytics event missing Important event not recorded to analytics"
61,"Database deadlock under load","Concurrent writes cause deadlock and timeouts","Database deadlock under load Concurrent writes cause deadlock and timeouts"
62,"Search ranking inconsistent","Results reorder unexpectedly between queries","Search ranking inconsistent Results reorder unexpectedly between queries"
63,"App uses old cached assets","New CSS not loaded due to caching","App uses old cached assets New CSS not loaded due to caching"
64,"Broken image links in gallery","Some images show broken placeholder after upload","Broken image links in gallery Some images show broken placeholder after upload"
65,"Permission escalation possible","Users can access admin endpoints without rights","Permission escalation possible Users can access admin endpoints without rights"
66,"Autosuggest duplicates results","Autocomplete shows the same suggestion multiple times","Autosuggest duplicates results Autocomplete shows the same suggestion multiple times"
67,"Time input clamps to midnight","Time fields reset to 00:00 unexpectedly","Time input clamps to midnight Time fields reset to 00:00 unexpectedly"
68,"Crash on external monitor connect","App crashes when connecting second monitor","Crash on external monitor connect App crashes when connecting second monitor"
69,"Background task not canceled","Long-running job persists after task canceled","Background task not canceled Long-running job persists after task canceled"
70,"Export to Excel formatting lost","Cell styles lost when exporting to XLSX","Export to Excel formatting lost Cell styles lost when exporting to XLSX"
71,"Auto-complete selection wrong","Selecting suggestion inserts different text","Auto-complete selection wrong Selecting suggestion inserts different text"
72,"File preview shows corrupted content","Preview displays binary as text for some files","File preview shows corrupted content Preview displays binary as text for some files"
73,"Notifications duplicated","Multiple notifications sent for a single event","Notifications duplicated Multiple notifications sent for a single event"
74,"Map marker clustering incorrect","Markers cluster overlaps incorrectly at zoom levels","Map marker clustering incorrect Markers cluster overlaps incorrectly at zoom levels"
75,"Regression in sorting order","List sorting changed unintentionally in latest release","Regression in sorting order List sorting changed unintentionally in latest release"
76,"Search fuzzy matching slow","Fuzzy search matches cause heavy CPU usage","Search fuzzy matching slow Fuzzy search matches cause heavy CPU usage"
77,"Crash when importing images","Importing ZIP with images crashes the importer","Crash when importing images Importing ZIP with images crashes the importer"
78,"OAuth token refresh fails","Access token not refreshed, leading to 401","OAuth token refresh fails Access token not refreshed, leading to 401"
79,"CSS variables not applied","Theme variables ignored in certain components","CSS variables not applied Theme variables ignored in certain components"
80,"Form field autofocus wrong","Autofocus set to wrong input after submit","Form field autofocus wrong Autofocus set to wrong input after submit"
81,"Image rotate tool misbehaves","Rotation snaps unexpectedly on small angles","Image rotate tool misbehaves Rotation snaps unexpectedly on small angles"
82,"Crash on printing","Printing dialog causes crash on macOS","Crash on printing Printing dialog causes crash on macOS"
83,"Notification preferences not persisted","Changing notification settings doesn't persist","Notification preferences not persisted Changing notification settings doesn't persist"
84,"OAuth redirect loop","Third party login gets stuck in redirect loop","OAuth redirect loop Third party login gets stuck in redirect loop"
85,"Autosave creates empty files","Autosave writes zero-byte files under heavy load","Autosave creates empty files Autosave writes zero-byte files under heavy load"
86,"Graph legend overlaps content","Legend covers chart data at certain sizes","Graph legend overlaps content Legend covers chart data at certain sizes"
87,"Cursor jumps while typing","Cursor position unexpectedly moves during input","Cursor jumps while typing Cursor position unexpectedly moves during input"
88,"PDF annotations lost","Annotations disappear after reopening document","PDF annotations lost Annotations disappear after reopening document"
89,"API rate limit miscalculated","Rate limiter allows more requests than configured","API rate limit miscalculated Rate limiter allows more requests than configured"
90,"Search suggestions stale","Suggestions do not reflect newly added items","Search suggestions stale Suggestions do not reflect newly added items"
91,"Crash on switching workspaces","Switching workspace triggers an exception","Crash on switching workspaces Switching workspace triggers an exception"
92,"Deprecated API still exposed","Old endpoint returns data and causes confusion","Deprecated API still exposed Old endpoint returns data and causes confusion"
93,"Sync conflict resolution wrong","Conflict resolution overwrites newer changes","Sync conflict resolution wrong Conflict resolution overwrites newer changes"
94,"Missing accessibility labels","Buttons lack aria-labels on toolbar","Missing accessibility labels Buttons lack aria-labels on toolbar"
95,"Broken keyboard focus order","Tab order is not logical on dialog","Broken keyboard focus order Tab order is not logical on dialog"
96,"High memory in renderer","Renderer process memory grows unbounded","High memory in renderer Renderer process memory grows unbounded"
97,"Failed backup on network error","Backup stops and does not resume after transient failure","Failed backup on network error Backup stops and does not resume after transient failure"
98,"Locale-dependent parsing error","Numeric parsing fails for comma decimals","Locale-dependent parsing error Numeric parsing fails for comma decimals"
99,"Search tokenization bug","Queries with hyphens break tokenization","Search tokenization bug Queries with hyphens break tokenization"
100,"Crash on offline mode","App crashes when switching to offline mode","Crash on offline mode App crashes when switching to offline mode"
101,"Color picker returns wrong value","Selected color hex is incorrect on save","Color picker returns wrong value Selected color hex is incorrect on save"
102,"Export image resolution low","Exported images are downscaled unexpectedly","Export image resolution low Exported images are downscaled unexpectedly"
103,"Login with SSO times out","SSO flow times out on slow networks","Login with SSO times out SSO flow times out on slow networks"
104,"Search facet counts incorrect","Facet counts do not match filtered results","Search facet counts incorrect Facet counts do not match filtered results"
105,"Notifications settings UI broken","Toggle switches do not reflect actual state","Notifications settings UI broken Toggle switches do not reflect actual state"
106,"Crash when changing language","App crashes when switching display language","Crash when changing language App crashes when switching display language"
107,"Stale cache served to users","Users see outdated content until manual refresh","Stale cache served to users Users see outdated content until manual refresh"
108,"Avatar upload rejects valid images","Accepted formats are incorrectly restricted","Avatar upload rejects valid images Accepted formats are incorrectly restricted"
109,"Broken permalink generation","Share links redirect to homepage instead of item","Broken permalink generation Share links redirect to homepage instead of item"
110,"Search highlighting off by one","Highlighted range misses first character","Search highlighting off by one Highlighted range misses first character"
111,"Crash on theme change","App crashes when switching to high-contrast theme","Crash on theme change App crashes when switching to high-contrast theme"
112,"Duplicate notifications on iOS","iOS receives duplicate push notifications","Duplicate notifications on iOS iOS receives duplicate push notifications"
113,"Cursor style not updated","Cursor does not change when hovering draggable","Cursor style not updated Cursor does not change when hovering draggable"
114,"Long press not detected","Long-press gestures fail on some Android devices","Long press not detected Long-press gestures fail on some Android devices"
115,"Backup restore corrupts timestamps","Restored files have wrong modification times","Backup restore corrupts timestamps Restored files have wrong modification times"
116,"Sorting stable order lost","Stable sort property not preserved after update","Sorting stable order lost Stable sort property not preserved after update"
117,"Live reload fails in dev mode","Hot reload doesn't pick up CSS changes","Live reload fails in dev mode Hot reload doesn't pick up CSS changes"
118,"Broken conditional rendering","Component fails to render when prop is null","Broken conditional rendering Component fails to render when prop is null"
119,"Graph axis labels overlap","X-axis labels overlap at narrow widths","Graph axis labels overlap X-axis labels overlap at narrow widths"
120,"Search query escaping issue","Special characters break backend query parsing","Search query escaping issue Special characters break backend query parsing"
121,"Crash when clearing cache","Clearing cache triggers segmentation fault","Crash when clearing cache Clearing cache triggers segmentation fault"
122,"Invalid SSL certificate accepted","Client accepts self-signed certs incorrectly","Invalid SSL certificate accepted Client accepts self-signed certs incorrectly"
123,"Date range picker wrong end date","End date moves one day earlier after select","Date range picker wrong end date End date moves one day earlier after select"
124,"Tooltip not accessible by keyboard","Tooltips do not appear on focus via keyboard","Tooltip not accessible by keyboard Tooltips do not appear on focus via keyboard"
125,"Scroll position lost after update","Page scroll resets after content refresh","Scroll position lost after update Page scroll resets after content refresh"
126,"Missing translations for currencies","Currency names missing in some locales","Missing translations for currencies Currency names missing in some locales"
127,"Crash when attaching large file","Attaching big files causes out-of-memory crash","Crash when attaching large file Attaching big files causes out-of-memory crash"
128,"Search relevance degraded","Sorting by relevance returns poor matches","Search relevance degraded Sorting by relevance returns poor matches"
129,"Export JSON invalid","Exported JSON has trailing commas","Export JSON invalid Exported JSON has trailing commas"
130,"Import ignores nested objects","Nested structures flattened during import","Import ignores nested objects Nested structures flattened during import"
131,"Session cookie not refreshed","Session cookie expires earlier than token","Session cookie not refreshed Session cookie expires earlier than token"
132,"Notifications permission prompt repeats","Permission prompt appears repeatedly after denial","Notifications permission prompt repeats Permission prompt appears repeatedly after denial"
133,"Crash on GPU rendering","Hardware acceleration triggers crash on some GPUs","Crash on GPU rendering Hardware acceleration triggers crash on some GPUs"
134,"Analytics batch send fails","Batched analytics not sent under low memory","Analytics batch send fails Batched analytics not sent under low memory"
135,"Search fuzzy tolerance wrong","Fuzzy matching threshold too strict","Search fuzzy tolerance wrong Fuzzy matching threshold too strict"
136,"Context menu keyboard shortcut missing","Shortcut key not bound for context menu action","Context menu keyboard shortcut missing Shortcut key not bound for context menu action"
137,"Image upload duplicates","Same image uploaded twice when slow network retries","Image upload duplicates Same image uploaded twice when slow network retries"
138,"File permissions reset on sync","Synced files lose original permission bits","File permissions reset on sync Synced files lose original permission bits"
139,"Crash when using proxy","App crashes when configured with HTTP proxy","Crash when using proxy App crashes when configured with HTTP proxy"
140,"Search wildcard performance issues","Queries with leading wildcard are very slow","Search wildcard performance issues Queries with leading wildcard are very slow"
141,"Invalid character encoding","Non-UTF8 text shows as garbage characters","Invalid character encoding Non-UTF8 text shows as garbage characters"
142,"Export abort leaves temp files","Interrupted export leaves orphan temp files","Export abort leaves temp files Interrupted export leaves orphan temp files"
143,"Incorrect math rounding","Calculations round incorrectly at boundaries","Incorrect math rounding Calculations round incorrectly at boundaries"
144,"Crash on plugin install","Installing plugin crashes the host application","Crash on plugin install Installing plugin crashes the host application"
145,"Search facets not clickable","Facet UI elements ignore click events","Search facets not clickable Facet UI elements ignore click events"
146,"Empty state graphic missing","No illustration shown on empty lists","Empty state graphic missing No illustration shown on empty lists"
147,"Delayed push notifications","Push notifications arrive with long delay","Delayed push notifications Push notifications arrive with long delay"
148,"Broken OAuth scope handling","Scopes not applied correctly during consent","Broken OAuth scope handling Scopes not applied correctly during consent"
149,"Video encoder produces artifacts","Recorded videos show compression artifacts","Video encoder produces artifacts Recorded videos show compression artifacts"
150,"Crash on theme CSS parse","Invalid CSS variable causes parser exception","Crash on theme CSS parse Invalid CSS variable causes parser exception"
151,"API pagination inconsistent","Next page token not returned on last page","API pagination inconsistent Next page token not returned on last page"
152,"Search synonyms missing","Configured synonyms not applied to results","Search synonyms missing Configured synonyms not applied to results"
153,"Avatar caching wrong","Updated avatars not reflected due to stale cache","Avatar caching wrong Updated avatars not reflected due to stale cache"
154,"Crash when importing contacts","Bulk import of contacts crashes halfway","Crash when importing contacts Bulk import of contacts crashes halfway"
155,"Notifications lost on logout","Pending notifications cleared on user logout","Notifications lost on logout Pending notifications cleared on user logout"
156,"Permission mask truncated","Saved ACL masks truncate high bits","Permission mask truncated Saved ACL masks truncate high bits"
157,"Background job stuck","Recurring job does not schedule again after failure","Background job stuck Recurring job does not schedule again after failure"
158,"Crash in instrumentation tests","Test harness crashes when running integration suite","Crash in instrumentation tests Test harness crashes when running integration suite"
159,"Search ranking ignores boosts","Boost weights not applied to query scoring","Search ranking ignores boosts Boost weights not applied to query scoring"
160,"Inline editor loses focus","In-place editing loses focus on save","Inline editor loses focus In-place editing loses focus on save"
161,"Crash when clearing history","Clearing user history causes null pointer exception","Crash when clearing history Clearing user history causes null pointer exception"
162,"Deprecated CSS breaks layout","Old stylesheets override new grid rules","Deprecated CSS breaks layout Old stylesheets override new grid rules"
163,"File sync mismatch","Files differ on clients after sync completes","File sync mismatch Files differ on clients after sync completes"
164,"Search blocked by firewall","Search requests blocked by corporate firewall rules","Search blocked by firewall Search requests blocked by corporate firewall rules"
165,"Crash on image preview","Previewing certain PNGs crashes the viewer","Crash on image preview Previewing certain PNGs crashes the viewer"
166,"Autosave interval ignored","Autosave interval setting not respected","Autosave interval ignored Autosave interval setting not respected"
167,"Login shows blank page","Blank white page after submitting credentials","Login shows blank page Blank white page after submitting credentials"
168,"Calendar events duplicated","Recurring events duplicated after import","Calendar events duplicated Recurring events duplicated after import"
169,"Search field loses input","Typing fast clears the input field unexpectedly","Search field loses input Typing fast clears the input field unexpectedly"
170,"Settings sync conflict","Settings overwritten when syncing between devices","Settings sync conflict Settings overwritten when syncing between devices"
171,"Crash on certificate pinning","Network call crashes due to pin verification","Crash on certificate pinning Network call crashes due to pin verification"
172,"Chart tooltip wrong value","Tooltip displays previous point value after update","Chart tooltip wrong value Tooltip displays previous point value after update"
173,"Export to HTML broken links","Relative links broken in exported HTML package","Export to HTML broken links Relative links broken in exported HTML package"
174,"Performance regression in list view","Rendering large lists slower after recent change","Performance regression in list view Rendering large lists slower after recent change"
175,"Search stops after special char","Indexing halts when content contains emoji","Search stops after special char Indexing halts when content contains emoji"
176,"Crash on theme import","Importing custom theme JSON crashes renderer","Crash on theme import Importing custom theme JSON crashes renderer"
177,"OAuth consent screen mislabels","Consent screen shows wrong app name for some users","OAuth consent screen mislabels Consent screen shows wrong app name for some users"
178,"Password strength meter wrong","Meter shows weak for strong passwords","Password strength meter wrong Meter shows weak for strong passwords"
179,"File rename fails on case-insensitive FS","Renaming only case difference fails on Windows","File rename fails on case-insensitive FS Renaming only case difference fails on Windows"
180,"Clipboard copy strips links","Copying rich text removes anchor tags","Clipboard copy strips links Copying rich text removes anchor tags"
181,"Crash on heavy disk IO","App crashes under heavy read/write activity","Crash on heavy disk IO App crashes under heavy read/write activity"
182,"Broken tabindex order","Custom components have incorrect tabindex values","Broken tabindex order Custom components have incorrect tabindex values"
183,"Search suggestions include private items","Private items appear in public search suggestions","Search suggestions include private items Private items appear in public search suggestions"
184,"Crash when opening preferences","Preferences window fails to initialize and crashes","Crash when opening preferences Preferences window fails to initialize and crashes"
185,"Image gallery pagination wrong","Next page missing when total divisible by page size","Image gallery pagination wrong Next page missing when total divisible by page size"
186,"Session cookie insecure flag missing","Cookies not marked secure over HTTPS","Session cookie insecure flag missing Cookies not marked secure over HTTPS"
187,"Crash on heavy GC","Garbage collector thrash leads to crash in native module","Crash on heavy GC Garbage collector thrash leads to crash in native module"
188,"Search fuzzy matching misspells","Fuzzy engine mis-scores transposed letters","Search fuzzy matching misspells Fuzzy engine mis-scores transposed letters"
189,"Crash when importing unknown mime","Importer throws on unknown MIME types","Crash when importing unknown mime Importer throws on unknown MIME types"
190,"Notification sound missing","No sound plays for new message notifications","Notification sound missing No sound plays for new message notifications"
191,"Search pagination off by one","Last item duplicated across pages","Search pagination off by one Last item duplicated across pages"
192,"Crash on network flapping","Rapid network connect/disconnect causes crash","Crash on network flapping Rapid network connect/disconnect causes crash"
193,"Form autosave interferes with typing","Autosave triggers while typing causing input loss","Form autosave interferes with typing Autosave triggers while typing causing input loss"
194,"Search highlights wrong span","Highlighted snippet does not match query term","Search highlights wrong span Highlighted snippet does not match query term"
195,"Crash on locale change","Switching app locale during use crashes UI thread","Crash on locale change Switching app locale during use crashes UI thread"
196,"Image orientation ignored","Uploaded images lose EXIF orientation metadata","Image orientation ignored Uploaded images lose EXIF orientation metadata"
197,"Export archive password ignored","Exported zip not encrypted despite password","Export archive password ignored Exported zip not encrypted despite password"
198,"Search token limit exceeded","Query engine fails on very long queries","Search token limit exceeded Query engine fails on very long queries"
199,"Crash on deleting last item","Deleting the final item in a list crashes app","Crash on deleting last item Deleting the final item in a list crashes app"
200,"Offline edits not synced","Changes made offline not applied when back online","Offline edits not synced Changes made offline not applied when back online"
201,"Context menu missing options","Some actions omitted from right-click menu","Context menu missing options Some actions omitted from right-click menu"
202,"Crash when loading big image list","Rendering many thumbnails crashes renderer","Crash when loading big image list Rendering many thumbnails crashes renderer"
203,"Search fuzzy synonyms reversed","Synonym expansion replaces terms incorrectly","Search fuzzy synonyms reversed Synonym expansion replaces terms incorrectly"
204,"File checksum mismatch on download","Downloaded file checksum differs from source","File checksum mismatch on download Downloaded file checksum differs from source"
205,"Crash on clearing local storage","Clearing storage triggers exception in worker thread","Crash on clearing local storage Clearing storage triggers exception in worker thread"
206,"Search suggestions show expired items","Expired content still appears in suggestions","Search suggestions show expired items Expired content still appears in suggestions"
207,"Crash when merging branches","Merge operation crashes with complex histories","Crash when merging branches Merge operation crashes with complex histories"
208,"Export to markdown format broken","Links broken when exporting to Markdown","Export to markdown format broken Links broken when exporting to Markdown"
209,"Video seeking jumps to wrong timestamp","Seeking goes to previous keyframe instead of target","Video seeking jumps to wrong timestamp Seeking goes to previous keyframe instead of target"
210,"Crash on slow disk write","Saving large project crashes on slow SD cards","Crash on slow disk write Saving large project crashes on slow SD cards"
211,"Search boost not applied for recent items","Recent boost ignored on certain indices","Search boost not applied for recent items Recent boost ignored on certain indices"
212,"Preferences toggles not accessible","Toggles lack labels for screen readers","Preferences toggles not accessible Toggles lack labels for screen readers"
213,"Crash when opening encrypted file","Attempt to open encrypted file crashes decryptor","Crash when opening encrypted file Attempt to open encrypted file crashes decryptor"
214,"Search indexer stops on errors","Indexer halts completely on single malformed doc","Search indexer stops on errors Indexer halts completely on single malformed doc"
215,"Audio recording clipped","Recorded audio truncated at end of file","Audio recording clipped Recorded audio truncated at end of file"
216,"Crash on removing plugin","Removing a plugin causes null pointer exception","Crash on removing plugin Removing a plugin causes null pointer exception"
217,"Search UI lags on typing","Typing in search input is laggy with many results","Search UI lags on typing Typing in search input is laggy with many results"
218,"Export lacks metadata","Exported package missing author and license info","Export lacks metadata Exported package missing author and license info"
219,"Crash on importing nested zip","Importer cannot handle nested zip archives and crashes","Crash on importing nested zip Importer cannot handle nested zip archives and crashes"
220,"Search suggestions too slow","Backend takes too long to return suggestions","Search suggestions too slow Backend takes too long to return suggestions"
221,"Image blur effect heavy","Applied blur effect stronger than expected","Image blur effect heavy Applied blur effect stronger than expected"
222,"Crash on updating record","Updating certain records causes server exception","Crash on updating record Updating certain records causes server exception"
223,"Search filter UI overlapping","Filter dropdown overlaps search input on narrow screens","Search filter UI overlapping Filter dropdown overlaps search input on narrow screens"
224,"Upload progress stalls","Progress bar stops while upload continues","Upload progress stalls Progress bar stops while upload continues"
225,"Crash when toggling feature flag","Switching experimental feature causes crash","Crash when toggling feature flag Switching experimental feature causes crash"
226,"Search warmup missing","Server cold starts cause initial slow searches","Search warmup missing Server cold starts cause initial slow searches"
227,"Broken markdown rendering","Markdown rendering fails for nested lists","Broken markdown rendering Markdown rendering fails for nested lists"
228,"Crash on invalid image metadata","Bad EXIF metadata crashes image parser","Crash on invalid image metadata Bad EXIF metadata crashes image parser"
229,"Search query trimming wrong","Leading/trailing whitespace not handled correctly","Search query trimming wrong Leading/trailing whitespace not handled correctly"
230,"Export progress inaccurate","Progress completes before export finishes","Export progress inaccurate Progress completes before export finishes"
231,"Crash when switching projects","Switching to different project context crashes app","Crash when switching projects Switching to different project context crashes app"
232,"Search autocomplete shows stale cache","Autocomplete shows outdated suggestions from cache","Search autocomplete shows stale cache Autocomplete shows outdated suggestions from cache"
233,"Image lazy load flicker","Placeholder flickers before image loads","Image lazy load flicker Placeholder flickers before image loads"
234,"Crash on multiple file rename","Batch rename operation causes crash with many files","Crash on multiple file rename Batch rename operation causes crash with many files"
235,"Search snippet truncated","Snippet cuts off in the middle of words","Search snippet truncated Snippet cuts off in the middle of words"
236,"Permissions UI shows incorrect state","UI shows granted when permission was revoked","Permissions UI shows incorrect state UI shows granted when permission was revoked"
237,"Crash on large undo stack","Undoing many actions crashes renderer","Crash on large undo stack Undoing many actions crashes renderer"
238,"Search index corrupt after upgrade","Index broken after migration to new format","Search index corrupt after upgrade Index broken after migration to new format"
239,"Export ignores custom templates","Custom export templates not applied","Export ignores custom templates Custom export templates not applied"
240,"Crash when enabling analytics","Enabling telemetry causes startup crash","Crash when enabling analytics Enabling telemetry causes startup crash"
241,"Search suggestions not keyboard navigable","Cannot navigate suggestions with arrow keys","Search suggestions not keyboard navigable Cannot navigate suggestions with arrow keys"
242,"Missing breadcrumb on pages","Breadcrumb navigation missing on nested pages","Missing breadcrumb on pages Breadcrumb navigation missing on nested pages"
243,"Crash when removing last tag","Removing the last tag on item causes crash","Crash when removing last tag Removing the last tag on item causes crash"
244,"Search highlights wrong language","Highlights match wrong localized content","Search highlights wrong language Highlights match wrong localized content"
245,"Autosave duplicates temporary files","Autosave writes multiple temp copies instead of one","Autosave duplicates temporary files Autosave writes multiple temp copies instead of one"
246,"Crash on custom renderer","Third-party renderer integration causes crash","Crash on custom renderer Third-party renderer integration causes crash"
247,"Search results not stable across refresh","Results reorder when reloading page","Search results not stable across refresh Results reorder when reloading page"
248,"Widget resize handles missing","Resize handles not visible on small widgets","Widget resize handles missing Resize handles not visible on small widgets"
249,"Crash when closing modal","Closing modal sometimes crashes main window","Crash when closing modal Closing modal sometimes crashes main window"
250,"Search suggestions exceed limit","Too many suggestions returned causing UI overflow","Search suggestions exceed limit Too many suggestions returned causing UI overflow"
251,"File watcher misses changes","FS watcher does not detect changes on network share","File watcher misses changes FS watcher does not detect changes on network share"
252,"Crash on loading corrupted user profile","Loading corrupted profile causes crash","Crash on loading corrupted user profile Loading corrupted profile causes crash"
253,"Search indexing not incremental","Reindexing always rebuilds full index causing downtime","Search indexing not incremental Reindexing always rebuilds full index causing downtime"
254,"Form autosave uses wrong key","Autosave overrides other document's draft","Form autosave uses wrong key Autosave overrides other document's draft"
255,"Crash when attaching camera","Attaching external camera device crashes app","Crash when attaching camera Attaching external camera device crashes app"
256,"Search synonyms applied backward","Synonym mapping reversed producing wrong matches","Search synonyms applied backward Synonym mapping reversed producing wrong matches"
257,"Export missing images","Embedded images not included in exported archive","Export missing images Embedded images not included in exported archive"
258,"Crash on invalid locale file","Malformed locale JSON causes crash during load","Crash on invalid locale file Malformed locale JSON causes crash during load"
259,"Search suggestions cutoff","Long suggestion text truncated without ellipsis","Search suggestions cutoff Long suggestion text truncated without ellipsis"
260,"Cache invalidation race","Stale content served during concurrent updates","Cache invalidation race Stale content served during concurrent updates"
261,"Crash on updating user role","Changing user role triggers server crash","Crash on updating user role Changing user role triggers server crash"
262,"Search stopwords removed incorrectly","Important terms removed by stopword filter","Search stopwords removed incorrectly Important terms removed by stopword filter"
263,"Export fails with special characters","Filenames with emojis break export routine","Export fails with special characters Filenames with emojis break export routine"
264,"Crash when applying filter preset","Applying saved filter preset causes exception","Crash when applying filter preset Applying saved filter preset causes exception"
